iter	Passed	Remaining
0	7	700
1	10	490
2	14	459
3	15	383
4	17	334
5	18	296
6	20	268
7	21	247
8	23	240
9	25	232
10	33	268
11	35	257
12	36	246
13	38	234
14	39	224
15	41	217
16	45	224
17	48	219
18	49	210
19	50	202
20	51	195
21	55	197
22	64	215
23	65	208
24	67	202
25	68	195
26	70	189
27	71	182
28	72	176
29	74	174
30	77	173
31	79	168
32	80	163
33	81	158
34	82	153
35	83	149
36	90	154
37	93	152
38	94	148
39	96	144
40	97	140
41	97	135
42	98	130
43	99	127
44	101	124
45	104	122
46	106	120
47	107	116
48	108	113
49	109	109
50	110	106
51	111	103
52	112	100
53	113	96
54	114	93
55	115	90
56	116	88
57	121	87
58	123	85
59	124	82
60	125	80
61	126	77
62	127	74
63	128	72
64	129	69
65	129	66
66	130	64
67	131	62
68	134	60
69	136	58
70	137	55
71	137	53
72	138	51
73	139	49
74	140	46
75	141	44
76	142	42
77	144	40
78	145	38
79	148	37
80	151	35
81	152	33
82	153	31
83	154	29
84	155	27
85	156	25
86	157	23
87	158	21
88	159	19
89	160	17
90	161	15
91	163	14
92	165	12
93	166	10
94	167	8
95	168	7
96	168	5
97	169	3
98	170	1
99	171	0
