iter	Passed	Remaining
0	132	132463
1	133	66691
2	134	44746
3	135	33723
4	136	27172
5	137	22796
6	138	19681
7	139	17333
8	140	15482
9	142	14076
10	144	12958
11	145	11966
12	146	11114
13	147	10381
14	148	9750
15	149	9189
16	150	8695
17	151	8259
18	152	7865
19	153	7524
20	154	7214
21	155	6915
22	157	6670
23	159	6501
24	160	6274
25	161	6064
26	162	5872
27	164	5693
28	165	5527
29	166	5376
30	167	5238
31	168	5105
32	169	4975
33	171	4867
34	173	4781
35	175	4693
36	176	4586
37	177	4486
38	178	4388
39	179	4296
40	179	4209
41	181	4132
42	182	4063
43	183	3995
44	185	3926
45	186	3866
46	188	3822
47	189	3761
48	190	3703
49	192	3650
50	193	3594
51	194	3543
52	195	3492
53	196	3442
54	197	3393
55	198	3346
56	199	3300
57	200	3253
58	201	3213
59	203	3183
60	204	3142
61	205	3104
62	206	3065
63	207	3028
64	208	2993
65	209	2959
66	210	2926
67	211	2895
68	212	2864
69	213	2833
70	214	2804
71	215	2778
72	217	2756
73	218	2733
74	219	2707
75	220	2681
76	221	2656
77	222	2631
78	223	2605
79	224	2580
80	225	2556
81	226	2532
82	226	2504
83	227	2482
84	228	2459
85	229	2439
86	230	2418
87	231	2403
88	233	2385
89	233	2364
90	234	2345
91	235	2326
92	236	2307
93	237	2290
94	238	2271
95	239	2254
96	240	2236
97	241	2219
98	241	2202
99	242	2185
100	243	2170
101	244	2155
102	246	2142
103	247	2133
104	248	2119
105	249	2105
106	250	2091
107	251	2077
108	252	2064
109	253	2052
110	254	2041
111	255	2028
112	256	2015
113	257	2002
114	258	1989
115	259	1976
116	259	1961
117	261	1951
118	262	1944
119	263	1933
120	264	1922
121	265	1909
122	266	1897
123	267	1886
124	267	1875
125	268	1864
126	269	1852
127	270	1841
128	271	1831
129	272	1821
130	272	1810
131	273	1800
132	274	1789
133	275	1780
134	276	1773
135	277	1764
136	278	1755
137	279	1746
138	280	1736
139	281	1727
140	281	1717
141	282	1706
142	283	1697
143	284	1688
144	284	1679
145	285	1670
146	286	1661
147	287	1652
148	287	1643
149	288	1634
150	289	1625
151	289	1617
152	290	1610
153	292	1605
154	293	1597
155	293	1590
156	294	1582
157	295	1574
158	297	1572
159	298	1566
160	298	1557
161	299	1550
162	300	1543
163	302	1541
164	303	1534
165	304	1528
166	305	1522
167	306	1517
168	307	1513
169	308	1508
170	310	1502
171	310	1496
172	311	1490
173	312	1484
174	313	1477
175	314	1471
176	314	1464
177	315	1458
178	316	1452
179	317	1447
180	318	1441
181	319	1435
182	320	1431
183	322	1428
184	323	1424
185	324	1418
186	325	1412
187	325	1407
188	326	1402
189	327	1396
190	328	1390
191	329	1385
192	330	1379
193	330	1374
194	331	1368
195	332	1362
196	332	1357
197	333	1351
198	334	1346
199	337	1349
200	338	1347
201	339	1342
202	340	1337
203	341	1331
204	341	1326
205	342	1321
206	343	1315
207	344	1310
208	344	1305
209	345	1300
210	346	1295
211	347	1290
212	348	1286
213	349	1281
214	349	1276
215	350	1272
216	352	1271
217	353	1266
218	353	1261
219	354	1257
220	355	1253
221	356	1248
222	357	1243
223	357	1239
224	358	1235
225	359	1231
226	360	1226
227	360	1222
228	361	1217
229	362	1213
230	363	1208
231	363	1204
232	364	1200
233	365	1196
234	367	1196
235	368	1192
236	369	1187
237	369	1183
238	370	1179
239	371	1175
240	371	1171
241	372	1167
242	373	1163
243	374	1159
244	374	1155
245	375	1151
246	376	1147
247	376	1143
248	377	1138
249	378	1135
250	379	1131
251	379	1127
252	380	1124
253	382	1122
254	382	1118
255	383	1115
256	384	1111
257	385	1107
258	385	1104
259	386	1100
260	387	1096
261	388	1093
262	389	1090
263	390	1087
264	391	1084
265	391	1081
266	392	1077
267	393	1074
268	394	1071
269	395	1069
270	396	1067
271	397	1065
272	400	1065
273	401	1062
274	402	1060
275	403	1057
276	404	1054
277	405	1051
278	405	1049
279	406	1045
280	407	1042
281	408	1039
282	408	1035
283	409	1032
284	410	1030
285	411	1028
286	412	1025
287	413	1022
288	414	1019
289	415	1016
290	415	1012
291	416	1009
292	417	1006
293	418	1004
294	418	1000
295	419	997
296	420	994
297	421	991
298	421	988
299	422	985
300	423	982
301	423	979
302	424	976
303	425	974
304	426	972
305	427	969
306	428	966
307	428	963
308	429	960
309	430	957
310	431	954
311	431	952
312	432	949
313	433	946
314	434	943
315	434	941
316	435	938
317	436	936
318	437	933
319	437	930
320	438	927
321	439	925
322	440	922
323	441	920
324	442	919
325	443	917
326	444	914
327	445	912
328	446	909
329	447	907
330	450	910
331	451	907
332	451	905
333	452	903
334	453	900
335	454	899
336	456	898
337	458	898
338	459	896
339	460	894
340	461	891
341	462	889
342	462	886
343	463	884
344	464	882
345	465	879
346	466	877
347	467	875
348	467	872
349	468	870
350	470	869
351	471	868
352	472	866
353	473	864
354	474	862
355	475	859
356	476	857
357	477	855
358	477	853
359	479	852
360	480	850
361	481	849
362	486	852
363	488	853
364	489	852
365	493	855
366	496	855
367	499	857
368	502	858
369	503	856
370	504	854
371	505	852
372	506	850
373	506	848
374	507	846
375	508	843
376	509	841
377	509	839
378	510	836
379	511	834
380	512	832
381	513	830
382	513	827
383	515	826
384	516	825
385	518	825
386	519	823
387	520	820
388	521	818
389	521	816
390	522	814
391	523	812
392	524	809
393	525	808
394	526	806
395	527	804
396	528	802
397	529	800
398	531	800
399	532	799
400	533	797
401	535	795
402	535	793
403	536	791
404	537	789
405	538	788
406	539	786
407	540	784
408	541	782
409	542	780
410	543	778
411	544	776
412	545	775
413	547	774
414	547	772
415	548	770
416	549	768
417	550	766
418	551	764
419	551	762
420	552	760
421	553	758
422	554	756
423	555	754
424	556	752
425	557	750
426	557	748
427	558	746
428	559	745
429	561	744
430	562	742
431	563	740
432	564	738
433	564	736
434	565	734
435	566	732
436	567	730
437	568	728
438	568	726
439	569	724
440	570	722
441	571	720
442	571	718
443	572	716
444	573	715
445	575	714
446	576	713
447	577	712
448	579	710
449	580	709
450	581	708
451	582	706
452	583	704
453	584	702
454	585	701
455	586	699
456	587	698
457	588	696
458	591	696
459	592	695
460	593	693
461	594	692
462	595	690
463	596	688
464	596	686
465	597	684
466	598	683
467	599	681
468	600	679
469	600	677
470	601	675
471	602	673
472	603	671
473	603	670
474	605	668
475	605	667
476	606	665
477	607	663
478	608	661
479	608	659
480	609	657
481	610	655
482	611	654
483	611	652
484	612	650
485	613	648
486	614	646
487	615	645
488	615	643
489	616	641
490	617	639
491	618	638
492	619	637
493	621	636
494	621	634
495	622	632
496	623	630
497	624	629
498	624	627
499	625	625
500	626	624
501	627	622
502	628	620
503	629	619
504	630	617
505	630	615
506	631	614
507	632	612
508	633	610
509	634	609
510	636	609
511	638	608
512	639	607
513	640	605
514	640	603
515	641	602
516	642	600
517	643	599
518	644	597
519	645	595
520	646	594
521	646	592
522	647	590
523	648	589
524	651	589
525	652	587
526	653	586
527	654	584
528	654	582
529	655	581
530	656	579
531	657	578
532	657	576
533	658	574
534	659	573
535	660	571
536	660	569
537	661	568
538	662	566
539	663	565
540	664	563
541	666	562
542	668	562
543	669	561
544	670	559
545	671	558
546	672	556
547	673	555
548	674	553
549	674	552
550	675	550
551	676	549
552	677	547
553	678	546
554	680	545
555	682	544
556	683	543
557	683	541
558	684	540
559	685	538
560	685	536
561	686	535
562	687	533
563	688	532
564	689	530
565	689	528
566	690	527
567	691	525
568	692	524
569	692	522
570	693	521
571	695	520
572	696	518
573	696	517
574	697	515
575	698	514
576	699	512
577	700	511
578	700	509
579	701	508
580	702	506
581	703	505
582	704	503
583	704	502
584	705	500
585	706	499
586	707	497
587	707	495
588	708	494
